Obs_ID,Ecoregion,Country,Site,Subsite,Latitude,Longitude,Depth_m,Genus,O_n,Species,Date,N,Start_time,No_start,Quality_start,End_time,No_end,Quality_end,Gamete_release,Situation,Timezone,DoNFM,DoSRtNFM,Sunrise,Sunset,Reference,Ref_ID,Comments
1,"Tuvalu, Samoa and Tonga",American Samoa,Faga’alu,na,-14.279444,-170.700833,-99,Porites,,cylindrica,27/10/1988,-99,20:30,FALSE,Exact,,TRUE,,Sperm,In situ,-11.00,1988-10-24,3,5:49,18:23,Itano & Buckley 1988,69,
2,"Tuvalu, Samoa and Tonga",American Samoa,Faga’alu,na,-14.279444,-170.700833,-99,Porites,,cylindrica,09/11/1995,15,20:35,FALSE,Exact,20:55,FALSE,Exact,Sperm,In situ,-11.00,1995-11-06,3,5:45,18:28,Mundy & Green 1999,97,
3,"Tuvalu, Samoa and Tonga",American Samoa,Faga’alu,na,-14.279444,-170.700833,-99,Acropora,,muricata,10/11/1995,-99,20:20,FALSE,Exact,21:20,FALSE,Exact,Bundles,In situ,-11.00,1995-11-06,4,5:45,18:28,Mundy & Green 1999,97,
4,"Tuvalu, Samoa and Tonga",American Samoa,Faga’alu,na,-14.279444,-170.700833,-99,Merulina,,ampliata,11/11/1995,6,19:45,FALSE,Exact,,TRUE,,Bundles,In situ,-11.00,1995-11-06,5,5:44,18:28,Mundy & Green 1999,97,
5,"Tuvalu, Samoa and Tonga",American Samoa,Faga’alu,na,-14.279444,-170.700833,-99,Montipora,,grisea,11/11/1995,3,20:45,FALSE,Exact,,TRUE,,Bundles,In situ,-11.00,1995-11-06,5,5:44,18:28,Mundy & Green 1999,97,
6,"Tuvalu, Samoa and Tonga",American Samoa,Faga’alu,na,-14.279444,-170.700833,-99,Montipora,,turgescens,11/11/1995,3,19:45,FALSE,Exact,20:30,FALSE,Exact,Bundles,In situ,-11.00,1995-11-06,5,5:44,18:28,Mundy & Green 1999,97,
7,"Tuvalu, Samoa and Tonga",American Samoa,Faga’alu,na,-14.279444,-170.700833,-99,Oxypora,,lacera,11/11/1995,1,20:30,FALSE,Exact,,TRUE,,Bundles,In situ,-11.00,1995-11-06,5,5:44,18:28,Mundy & Green 1999,97,
8,"Tuvalu, Samoa and Tonga",American Samoa,Faga’alu,na,-14.279444,-170.700833,-99,Lobophyllia,,hemprichii,12/11/1995,6,18:45,FALSE,Exact,,TRUE,,Sperm,In situ,-11.00,1995-11-06,6,5:44,18:29,Mundy & Green 1999,97,
9,"Tuvalu, Samoa and Tonga",American Samoa,Faga’alu,na,-14.279444,-170.700833,-99,Merulina,,ampliata,12/11/1995,2,,TRUE,,,TRUE,,Bundles,In situ,-11.00,1995-11-06,6,5:44,18:29,Mundy & Green 1999,97,
10,"Tuvalu, Samoa and Tonga",American Samoa,Faga’alu,na,-14.279444,-170.700833,-99,Oxypora,,lacera,12/11/1995,5,20:30,FALSE,Exact,21:30,FALSE,Exact,Bundles,In situ,-11.00,1995-11-06,6,5:44,18:29,Mundy & Green 1999,97,
11,Central and northern Great Barrier Reef,Australia,Big Broadhurst Reef,Big Broadhurst_1,-18.929444,147.757222,-99,Acropora,,gemmifera,06/12/1982,-99,,TRUE,,,TRUE,,Bundles,In situ,10.00,1982-12-01,5,5:23,18:36,Wallace 1985,132,
12,Central and northern Great Barrier Reef,Australia,Big Broadhurst Reef,Big Broadhurst_1,-18.929444,147.757222,-99,Acropora,,humilis,06/12/1982,-99,,TRUE,,,TRUE,,Bundles,In situ,10.00,1982-12-01,5,5:23,18:36,Wallace 1985,132,
13,Central and northern Great Barrier Reef,Australia,Big Broadhurst Reef,Big Broadhurst_1,-18.929444,147.757222,-99,Acropora,,loripes,06/12/1982,-99,,TRUE,,,TRUE,,Bundles,In situ,10.00,1982-12-01,5,5:23,18:36,Wallace 1985,132,
14,Central and northern Great Barrier Reef,Australia,Big Broadhurst Reef,Big Broadhurst_1,-18.929444,147.757222,-99,Acropora,,nasuta,06/12/1982,-99,,TRUE,,,TRUE,,Bundles,In situ,10.00,1982-12-01,5,5:23,18:36,Wallace 1985,132,
15,Central and northern Great Barrier Reef,Australia,Big Broadhurst Reef,Big Broadhurst_1,-18.929444,147.757222,-99,Astreopora,,myriophthalma,25/11/1983,1,21:09,FALSE,Exact,,TRUE,,Bundles,Ex situ,10.00,1983-11-20,5,5:22,18:29,Babcock et al 1986,3,
16,Central and northern Great Barrier Reef,Australia,Big Broadhurst Reef,Big Broadhurst_1,-18.929444,147.757222,-99,Australogyra,,zelli,25/11/1983,1,22:34,FALSE,Exact,,TRUE,,Bundles,Ex situ,10.00,1983-11-20,5,5:22,18:29,Babcock et al 1986,3,
17,Central and northern Great Barrier Reef,Australia,Big Broadhurst Reef,Big Broadhurst_1,-18.929444,147.757222,-99,Echinophyllia,,orpheensis,25/11/1983,1,21:54,FALSE,Exact,,TRUE,,Bundles,Ex situ,10.00,1983-11-20,5,5:22,18:29,Babcock et al 1986,3,
18,Central and northern Great Barrier Reef,Australia,Big Broadhurst Reef,Big Broadhurst_1,-18.929444,147.757222,-99,Favites,,halicora,25/11/1983,1,,TRUE,,,TRUE,,Bundles,Ex situ,10.00,1983-11-20,5,5:22,18:29,Babcock et al 1986,3,
19,Central and northern Great Barrier Reef,Australia,Big Broadhurst Reef,Big Broadhurst_1,-18.929444,147.757222,-99,Goniastrea,,edwardsi,25/11/1983,3,21:54,FALSE,Approx,,TRUE,,Bundles,In situ,10.00,1983-11-20,5,5:22,18:29,Babcock et al 1986,3,
